Link KawalPemilu,Nama Kelurahan,Nomor TPS,Suara 01,Suara 02,Suara Sah
https://kawalpemilu.org#25993,"MENTENG DALAM, TEBET, JAKARTA SELATAN, DKI JAKARTA",43,88,137,225
https://kawalpemilu.org#26109,"PULO GEBANG, CAKUNG, JAKARTA TIMUR, DKI JAKARTA",82,100,120,220
https://kawalpemilu.org#26018,"PEJATEN TIMUR, PASAR MINGGU, JAKARTA SELATAN, DKI JAKARTA",112,59,133,192
https://kawalpemilu.org#26087,"CIPINANG MUARA, JATINEGARA, JAKARTA TIMUR, DKI JAKARTA",9,107,115,1
https://kawalpemilu.org#26032,"GANDARIA SELATAN, CILANDAK, JAKARTA SELATAN, DKI JAKARTA",23,102,71,173
https://kawalpemilu.org#25851,"SERDANG, KEMAYORAN, JAKARTA PUSAT, DKI JAKARTA",85,126,121,247
https://kawalpemilu.org#26094,"BATU AMPAR, KRAMATJATI, JAKARTA TIMUR, DKI JAKARTA",54,75,156,231
https://kawalpemilu.org#26062,"PETUKANGAN UTARA, PESANGGRAHAN, JAKARTA SELATAN, DKI JAKARTA",14,101,129,230
https://kawalpemilu.org#25915,"SEMPER BARAT, CILINCING, JAKARTA UTARA, DKI JAKARTA",211,47,139,186
https://kawalpemilu.org#25836,"CIDENG, GAMBIR, JAKARTA PUSAT, DKI JAKARTA",20,187,46,233
https://kawalpemilu.org#25926,"CENGKARENG BARAT, CENGKARENG, JAKARTA BARAT, DKI JAKARTA",102,148,52,200
